,Identifier,Apoptosis,Date,Culture,Patient,gd_donor,Treatment,Replicate
6,20230130_PDOgd_5_7_BM_A,31.41062497,20230130,PDOgd,5,7,BM,A
7,20230130_PDOgd_5_7_BM_B,29.12638134,20230130,PDOgd,5,7,BM,B
8,20230130_PDOgd_5_7_BM_C,34.68328385,20230130,PDOgd,5,7,BM,C
9,20230130_PDOgd_5_7_B7C18_A,42.48427422,20230130,PDOgd,5,7,B7C18,A
10,20230130_PDOgd_5_7_B7C18_B,40.33124207,20230130,PDOgd,5,7,B7C18,B
11,20230130_PDOgd_5_7_B7C18_C,45.58295442,20230130,PDOgd,5,7,B7C18,C
12,20230130_PDOgd_5_A_BM_A,30.36787211,20230130,PDOgd,5,A,BM,A
13,20230130_PDOgd_5_A_BM_B,31.38828027,20230130,PDOgd,5,A,BM,B
14,20230130_PDOgd_5_A_BM_C,32.55011609,20230130,PDOgd,5,A,BM,C
15,20230130_PDOgd_5_A_B7C18_A,40.70247507,20230130,PDOgd,5,A,B7C18,A
16,20230130_PDOgd_5_A_B7C18_B,42.11107884,20230130,PDOgd,5,A,B7C18,B
17,20230130_PDOgd_5_A_B7C18_C,42.87592576,20230130,PDOgd,5,A,B7C18,C
18,20230130_PDOgd_5_B_BM_A,13.26191533,20230130,PDOgd,5,B,BM,A
19,20230130_PDOgd_5_B_BM_B,18.09727117,20230130,PDOgd,5,B,BM,B
20,20230130_PDOgd_5_B_BM_C,14.79927377,20230130,PDOgd,5,B,BM,C
21,20230130_PDOgd_5_B_B7C18_A,35.4833063,20230130,PDOgd,5,B,B7C18,A
22,20230130_PDOgd_5_B_B7C18_B,37.93126379,20230130,PDOgd,5,B,B7C18,B
23,20230130_PDOgd_5_B_B7C18_C,37.46704205,20230130,PDOgd,5,B,B7C18,C
24,20230130_PDOgd_5_E_BM_A,30.45901501,20230130,PDOgd,5,E,BM,A
25,20230130_PDOgd_5_E_BM_B,26.33122382,20230130,PDOgd,5,E,BM,B
26,20230130_PDOgd_5_E_BM_C,28.66750147,20230130,PDOgd,5,E,BM,C
27,20230130_PDOgd_5_E_B7C18_A,31.50455468,20230130,PDOgd,5,E,B7C18,A
28,20230130_PDOgd_5_E_B7C18_B,31.00956254,20230130,PDOgd,5,E,B7C18,B
29,20230130_PDOgd_5_E_B7C18_C,34.78134481,20230130,PDOgd,5,E,B7C18,C
36,20230130_PDOgd_11_7_BM_A,14.66599942,20230130,PDOgd,11,7,BM,A
37,20230130_PDOgd_11_7_BM_B,8.177001553,20230130,PDOgd,11,7,BM,B
38,20230130_PDOgd_11_7_BM_C,14.88044497,20230130,PDOgd,11,7,BM,C
39,20230130_PDOgd_11_7_B7C18_A,29.22547702,20230130,PDOgd,11,7,B7C18,A
40,20230130_PDOgd_11_7_B7C18_B,36.57564331,20230130,PDOgd,11,7,B7C18,B
41,20230130_PDOgd_11_7_B7C18_C,36.34600295,20230130,PDOgd,11,7,B7C18,C
42,20230130_PDOgd_11_A_BM_A,23.70499292,20230130,PDOgd,11,A,BM,A
43,20230130_PDOgd_11_A_BM_B,17.36986662,20230130,PDOgd,11,A,BM,B
44,20230130_PDOgd_11_A_BM_C,22.30486077,20230130,PDOgd,11,A,BM,C
45,20230130_PDOgd_11_A_B7C18_A,37.94904869,20230130,PDOgd,11,A,B7C18,A
46,20230130_PDOgd_11_A_B7C18_B,40.57373503,20230130,PDOgd,11,A,B7C18,B
47,20230130_PDOgd_11_A_B7C18_C,38.67916178,20230130,PDOgd,11,A,B7C18,C
48,20230130_PDOgd_11_B_BM_A,19.50199299,20230130,PDOgd,11,B,BM,A
49,20230130_PDOgd_11_B_BM_B,9.591856513,20230130,PDOgd,11,B,BM,B
